NAME,ADDRESS,CITY,STATE,ZIPCODE,GNIS_ID
Life Learning Academy Charter School,651 8th Street,San Francisco,CA,94130,2506865
Alliant International University,One Beach Street Suite 100,San Francisco,CA,94133-1221,2370744
Montessori Children's Center,755 Font Boulevard,San Francisco,CA,94132,2506903
Pacific Primary School,1500 Grove Street,San Francisco,CA,94117,2506899
Abraham Lincoln High School,2162 24th Avenue,San Francisco,CA,94116-1723,227118
The Bay School of San Francisco,35 Keyes Avenue,San Francisco,CA,94129-1736,2506920
Rooftop Alternative School - Mayeda Campus,500 Corbett Avenue,San Francisco,CA,94114,2506926
City College of San Francisco - Adult Learning and Tutorial Center,31 Gough Street,San Francisco,CA,94103,2506906
Five Keys Charter School,70 Oak Grove Street,San Francisco,CA,94117,2506922
Holy Trinity Orthodox School,999 Brotherhood Way,San Francisco,CA,94132,2506877
University of California - San Francisco Laurel Heights,3333 California Street,San Francisco,CA,94118,2506911
Saint Emydius Elementary School,301 De Montfort Avenue,San Francisco,CA,94112,232149
University of California - San Francisco Mission Bay,16th Street and 3rd Street,San Francisco,CA,94107,2506910
Galileo High School,1150 Francisco Street,San Francisco,CA,94109-1000,224010
Stuart Hall High School,1715 Octavia Street,San Francisco,CA,94109,2506919
Chinese American International School,150 Oak Street,San Francisco,CA,94102,1655621
City Arts and Technology High School,325 La Grande Avenue,San Francisco,CA,94112,2506921
Montessori Childrens House of the West Coast,25 Lake Street,San Francisco,CA,94118,2506905
Cornerstone Academy - Cambridge Campus,501 Cambridge Street,San Francisco,CA,94134,2506908
City College of San Francisco - Fort Mason Center,Laguna Street And Marina Boulevard,San Francisco,CA,94123,2107399
Muhammad University of Islam School,195B Kiska Road,San Francisco,CA,94124,2506916
City College of San Francisco - Evans Campus,1400 Evans Avenue,San Francisco,CA,94124,2107398
Treasure Island Job Corps Center,655 Avenue H,San Francisco,CA,94130,2506912
Stuart Hall for Boys School,2252 Broadway Street,San Francisco,CA,94115,2506887
International High School,150 Oak Street,San Francisco,CA,94102,2506907
City College of San Francisco - Chinatown North Beach Campus,808 Kearney Street,San Francisco,CA,94108,2107396
San Francisco University High School,3065 Jackson Street,San Francisco,CA,94115,1656886
City College of San Francisco - Downtown Campus,88 4th Street,San Francisco,CA,94103,2107397
Youth Chance High School,169 Steuart Street,San Francisco,CA,94103,2506895
French American International School,150 Oak Street,San Francisco,CA,94102-5912,1655640
The Art Institute of California - San Francisco,1170 Market Street,San Francisco,CA,94102-4908,2370669
Sunset Bible School,1690 21st Avenue,San Francisco,CA,94122,2506876
Russian American International School,1250 Quintara Street,San Francisco,CA,94116,2506917
Sacred Heart Cathedral Preparatory School,1055 Ellis Street,San Francisco,CA,94109,1657057
Treasure Island Elementary School (historical),13th Street and Avenue E,San Francisco,CA,94130,1657162
New College of California,777 Valencia Street,San Francisco,CA,94110-1734,1655470
Independence High School,3045 Santiago Street,San Francisco,CA,94112-3236,2506859
University of California - San Francisco Mount Zion,1600 Divisadero Street,San Francisco,CA,94120,2506909
San Francisco State University,1600 Holloway Avenue,San Francisco,CA,94132-,232394
American College of Traditional Chinese Medicine,455 Arkansas Street,San Francisco,CA,94107-,1657086
Miami Ad School - San Francisco,1414 Van Ness Avenue,San Francisco,CA,941109,
University of San Francisco,2130 Fulton Street,San Francisco,CA,94117-1080,236861
Saybrook Graduate School and Research Center,747 Front Street,San Francisco,CA,94111-,2370604
Everyday Magic School,220 Middlefield Drive,San Francisco,CA,94132-,
Academy of Art University,79 New Montgomery,San Francisco,CA,94105-,1655322
American Conservatory Theater Education Program,30 Grant Avenue,San Francisco,CA,94108-5834,
California Institute of Integral Studies,1453 Mission Street,San Francisco,CA,94103-,2370746
University of California Hastings College of Law,200 McAllister Street,San Francisco,CA,94102-4978,1655409
University of California - San Francisco,500 Parnassus Avenue,San Francisco,CA,94143-0244,2370736
City College of San Francisco,50 Phelan Avenue,San Francisco,CA,94112-1898,221130
Fashion Institute of Design and Merchandising - San Francisco,55 Stockton Street,San Francisco,CA,94108-5805,1657104
Golden Gate University - San Francisco,536 Mission Street,San Francisco,CA,94105-2968,2370731
Heald College - San Francisco,875 Howard Street,San Francisco,CA,94105-,2370587
San Francisco Art Institute,800 Chestnut Street,San Francisco,CA,94133-2299,1655543
San Francisco Conservatory of Music,50 Oak Street,San Francisco,CA,94102-6011,2370618
Sr Martin College Preparatory School,5 Thomas Mellon Circle Suite 225,San Francisco,CA,94134-,2506869
San Francisco City Academy,230 Jones Street,San Francisco,CA,94102-,2506871
James Denman Middle School,241 Oneida Avenue,San Francisco,CA,94112-3228,222263
Mission High School,3750 18th Street,San Francisco,CA,94114-2614,228833
Marshall Elementary School,1575 15th Street,San Francisco,CA,94103-3639,228151
Herbert Hoover Middle School,2290 14th Avenue,San Francisco,CA,94116-1841,225196
San Francisco Community Alternative School,125 Excelsior Street,San Francisco,CA,94112-2041,1655790
Phillip and Sala Burton Academic High School,400 Mansell Street,San Francisco,CA,94134-1931,1657140
Tenderloin Community Elementary School,627 Turk Street,San Francisco,CA,94102-,2506874
New Traditions Elementary School,2049 Grove Street,San Francisco,CA,94117-1123,2506894
Ida B Wells High School,2355 Folsom Street 4th Floor,San Francisco,CA,94110-,
Rooftop Elementary School,443 Burnett Avenue,San Francisco,CA,94131-1300,236713
Malcolm X Academy,350 Harbor Road,San Francisco,CA,94124-2474,
Sunnyside Elementary School,250 Foerster Street,San Francisco,CA,94112-1341,235791
